Name,AthleteUrl,Gender,Height,Active,Participations,Age,Country
Liam HEALY,https://ifsc.results.info/#/athlete/2535,Men,-,2017,8,26,AUS
Dylan PARKS,https://ifsc.results.info/#/athlete/13853,Men,-,2022,13,18,AUS
Stefan SCHERZ,https://ifsc.results.info/#/athlete/1274,Men,179,2015,66,22,AUT
Jan-luca POSCH,https://ifsc.results.info/#/athlete/1245,Men,184,2012,83,26,AUT
Nicolai UZNIK,https://ifsc.results.info/#/athlete/1256,Men,173,2014,88,23,AUT
Jakob SCHUBERT,https://ifsc.results.info/#/athlete/1214,Men,176,2004,233,33,AUT
Nicolas COLLIN,https://ifsc.results.info/#/athlete/320,Men,179,2012,137,25,BEL
Simon LORENZI,https://ifsc.results.info/#/athlete/318,Men,168,2011,104,26,BEL
Hannes VAN DUYSEN,https://ifsc.results.info/#/athlete/373,Men,175,2018,53,19,BEL
Rodrigo IASI HANADA,https://ifsc.results.info/#/athlete/12903,Men,-,2021,20,21,BRA
Felipe HO FOGANHOLO,https://ifsc.results.info/#/athlete/3141,Men,-,2015,64,24,BRA
Slav KIROV,https://ifsc.results.info/#/athlete/11500,Men,-,2019,70,18,BUL
Nikolay RUSEV,https://ifsc.results.info/#/athlete/12329,Men,172,2020,48,17,BUL
Guy MCNAMEE,https://ifsc.results.info/#/athlete/1646,Men,177,2017,31,21,CAN
Oscar BAUDRAND,https://ifsc.results.info/#/athlete/11847,Men,170,2019,36,18,CAN
Victor BAUDRAND,https://ifsc.results.info/#/athlete/1644,Men,175,2017,35,21,CAN
Christian WAGNER,https://ifsc.results.info/#/athlete/11837,Men,-,2019,27,21,CHI
Jinbin HUANG,https://ifsc.results.info/#/athlete/13594,Men,-,2022,15,18,CHN
Yufei PAN,https://ifsc.results.info/#/athlete/2947,Men,173,2014,112,23,CHN
Anton Young Hong NIELSEN,https://ifsc.results.info/#/athlete/3861,Men,-,2014,15,23,DEN
Theis Lindegren ELFENBEIN,https://ifsc.results.info/#/athlete/3854,Men,-,2011,27,26,DEN
Alberto GINÉS LÓPEZ,https://ifsc.results.info/#/athlete/811,Men,178,2016,109,21,ESP
Axel LINDFORS,https://ifsc.results.info/#/athlete/12459,Men,-,2021,14,32,FIN
Leo AVEZOU,https://ifsc.results.info/#/athlete/505,Men,-,2013,56,24,FRA
Paul JENFT,https://ifsc.results.info/#/athlete/547,Men,198,2017,58,20,FRA
Manuel CORNU,https://ifsc.results.info/#/athlete/490,Men,177,2012,73,30,FRA
Mickael MAWEM,https://ifsc.results.info/#/athlete/523,Men,179,2014,88,33,FRA
Mejdi SCHALCK,https://ifsc.results.info/#/athlete/11675,Men,172,2019,42,19,FRA
Sam AVEZOU,https://ifsc.results.info/#/athlete/532,Men,170,2015,83,22,FRA
Mathieu TERNANT,https://ifsc.results.info/#/athlete/11535,Men,178,2019,16,28,FRA
Toby ROBERTS,https://ifsc.results.info/#/athlete/11490,Men,177,2019,41,18,GBR
James POPE,https://ifsc.results.info/#/athlete/649,Men,167,2012,85,25,GBR
Hamish MCARTHUR,https://ifsc.results.info/#/athlete/696,Men,181,2016,61,21,GBR
Maximillian MILNE,https://ifsc.results.info/#/athlete/688,Men,166,2015,52,23,GBR
Dayan AKHTAR,https://ifsc.results.info/#/athlete/12239,Men,-,2021,12,20,GBR
Christoph SCHWEIGER,https://ifsc.results.info/#/athlete/4252,Men,187,2015,36,22,GER
Elias ARRIAGADA KRÜGER,https://ifsc.results.info/#/athlete/11525,Men,169,2019,18,23,GER
Max KLEESATTEL,https://ifsc.results.info/#/athlete/3127,Men,173,2017,31,25,GER
Jan HOJER,https://ifsc.results.info/#/athlete/3422,Men,188,2006,168,31,GER
Yannick FLOHÉ,https://ifsc.results.info/#/athlete/3131,Men,178,2014,113,24,GER
Ka-chun YAU,https://ifsc.results.info/#/athlete/2214,Men,172,2008,85,31,HKG
Cheung-chi Shoji CHAN,https://ifsc.results.info/#/athlete/2218,Men,172,2013,101,28,HKG
Chingkheinganba MAIBAM,https://ifsc.results.info/#/athlete/2649,Men,-,2016,33,21,IND
Lokesh RAJAN,https://ifsc.results.info/#/athlete/2632,Men,-,2015,4,25,IND
Hossein FAMILROHANI,https://ifsc.results.info/#/athlete/3511,Men,173,2016,18,31,IRI
Iman AREZEH,https://ifsc.results.info/#/athlete/12981,Men,177,2021,2,21,IRI
Mark SCANLON,https://ifsc.results.info/#/athlete/2601,Men,171,2022,7,24,IRL
Ciarán SCANLON,https://ifsc.results.info/#/athlete/2591,Men,174,2013,17,28,IRL
Geva LEVIN,https://ifsc.results.info/#/athlete/4019,Men,-,2017,53,20,ISR
Alex KHAZANOV,https://ifsc.results.info/#/athlete/3983,Men,-,2009,101,28,ISR
Nimrod MARCUS,https://ifsc.results.info/#/athlete/3998,Men,166,2014,95,24,ISR
