Name,Height
Aleksey Rubtsov,178
Simon Lorenzi,168
Nicolas Collin,179
Jeremy Bonder,168
Manuel Cornu,177
Mickael Mawem,179
Maximillian Milne,166
Philipp Martin,173
Alberto Ginés López,178
Marcello Bombardi,177
Stefano Ghisolfi,169
Michael Piccolruaz,178
Ludovico Fossali,185
Jernej Kruder,179
Domen Skofic,177
Gregor Vezonik,176
Anze Peharc,177
Zan Lovenjak Sudar,179
Jakob Schubert,176
Jan-luca Posch,184
Nicolai Uznik,173
Adam Ondra,186
Sean Mccoll,169
Sean Bailey,163
Nathaniel Coleman,182
Ross Fulkerson,183
Zach Galla,168
Colin Duffy,170
Jongwon Chon,177
Dohyun Lee,174
Ka-chun Yau,172
Cheung-chi Shoji Chan,172
Keita Mogaki,168
Rei Sugimoto,172
Keita Watabe,173
Kokoro Fujii,176
Tomoa Narasaki,170
Tomoaki Takata,175
Meichi Narasaki,188
Yoshiyuki Ogata,172
Kai Harada,169
Rei Kawamata,172
Campbell Harrison,182
Hannes Puman,177
Anthony Gullsten,180
Yufei Pan,173
Thilo Jeldrik Schröter,175
Max Kleesattel,173
Jan Hojer,188
Hossein Familrohani,173
Chua Dennis,164
Yuval Shemla,168
Ram Levin,173
Nimrod Marcus,166
Christoph Schweiger,187
Sascha Lehmann,164
Nils Favre,176
Jan-Luca Posch,184
Mejdi Schalck,172
Yannick Flohé,178
Ka-Chun Yau,172
Cheung-Chi Shoji Chan,172
Martin Stranik,178
Alexander Megos,175
Mikel Asier Linacisoro Molina,184
Aleksei Rubtsov,178
Alex Megos,175
Alfian Muhammad Fajri,166
Chris Sharma,183
Dan Osman,179
Daniel Woods,170
Danyil Boldyrev,190
Dave Graham,179
Dean Potter,196
Jimmy Webb,183
Kevin Jorgeson,175
Nalle Hukkataival,173
Patxi Usobiaga,174
Qixin Zhong,170
Reza Alipour,170
Rishat Khaibullin,169
Sean McColl,169
Tom Randall,178
Tommy Caldwell,180
