Name,Height
aleksey rubtsov,178
simon lorenzi,168
nicolas collin,179
jeremy bonder,168
manuel cornu,177
mickael mawem,179
maximillian milne,166
philipp martin,173
alberto ginés lópez,178
marcello bombardi,177
stefano ghisolfi,169
michael piccolruaz,178
ludovico fossali,185
jernej kruder,179
domen skofic,177
gregor vezonik,176
anze peharc,177
zan lovenjak sudar,179
jakob schubert,176
jan-luca posch,184
nicolai uznik,173
adam ondra,186
sean mccoll,169
sean bailey,163
nathaniel coleman,182
ross fulkerson,183
zach galla,168
colin duffy,170
jongwon chon,177
dohyun lee,174
ka-chun yau,172
cheung-chi shoji chan,172
keita mogaki,168
rei sugimoto,172
keita watabe,173
kokoro fujii,176
tomoa narasaki,170
tomoaki takata,175
meichi narasaki,188
yoshiyuki ogata,172
kai harada,169
rei kawamata,172
campbell harrison,182
hannes puman,177
anthony gullsten,180
yufei pan,173
thilo jeldrik schröter,175
max kleesattel,173
jan hojer,188
hossein familrohani,173
chua dennis,164
yuval shemla,168
ram levin,173
nimrod marcus,166
christoph schweiger,187
sascha lehmann,164
nils favre,176
